Strain	Date
hCoV-19/Denmark/DCGC-81562/2021|EPI_ISL_1890204|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-82708/2021|EPI_ISL_1891553|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-83415/2021|EPI_ISL_1892426|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-84141/2021|EPI_ISL_1893307|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-84454/2021|EPI_ISL_1893729|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-85303/2021|EPI_ISL_1894621|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-85309/2021|EPI_ISL_1894627|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-85755/2021|EPI_ISL_1895074|2021-03-15	2021-03-15
hCoV-19/Spain/CT-HUVH-EX202851/2021|EPI_ISL_1908870|2021-04-27	2021-04-27
hCoV-19/Switzerland/AG-UZH-IMV-3ba47269/2021|EPI_ISL_1911631|2021-04-21	2021-04-21
hCoV-19/Luxembourg/LNS3777891/2021|EPI_ISL_1918245|2021-04-19	2021-04-19
hCoV-19/Belgium/Aalst-OLVZ-8068408/2021|EPI_ISL_1921894|2021-04-14	2021-04-14
hCoV-19/USA/MD-MDH-2168/2021|EPI_ISL_1936189|2021-04-22	2021-04-22
hCoV-19/Germany/BE-ChVir-LB-210401-8310/2021|EPI_ISL_1972151|2021-03-24	2021-03-24
hCoV-19/Germany/BE-ChVir-LB-210326-5080/2021|EPI_ISL_1982486|2021-03-21	2021-03-21
hCoV-19/USA/MA-CDC-LC0049846/2021|EPI_ISL_1990051|2021-04-19	2021-04-19
hCoV-19/USA/PA-VSP1460/2021|EPI_ISL_2003808|2021-03-24	2021-03-24
hCoV-19/USA/PA-VSP1481/2021|EPI_ISL_2003825|2021-03-27	2021-03-27
hCoV-19/Portugal/PT7156/2021|EPI_ISL_2004292|2021-04-22	2021-04-22
hCoV-19/Italy/TAA-IGA-1900556970/2021|EPI_ISL_2007318|2021-04-06	2021-04-06
hCoV-19/Italy/TAA-IGA-1900560811/2021|EPI_ISL_2007330|2021-04-10	2021-04-10
hCoV-19/Italy/TAA-IGA-1900560813/2021|EPI_ISL_2007331|2021-04-10	2021-04-10
