Strain	Date
hCoV-19/USA/MA-CDC-STM-000046382/2021|EPI_ISL_1593082|2021-03-31	2021-03-31
hCoV-19/Bangladesh/BCSIR-AFIP-33/2021|EPI_ISL_1595840|2021-04-06	2021-04-06
hCoV-19/USA/WA-UW-68664/2021|EPI_ISL_1601346|2021-03-26	2021-03-26
hCoV-19/USA/WA-UW-68895/2021|EPI_ISL_1601510|2021-03-29	2021-03-29
hCoV-19/USA/WV-WVU-WV064777/2021|EPI_ISL_1624884|2021-04-07	2021-04-07
hCoV-19/USA/WA-UW-2021040508438/2021|EPI_ISL_1628193|2021-04-05	2021-04-05
hCoV-19/USA/NY-PRL-2021_0415_01G24/2021|EPI_ISL_1634233|2021-04-14	2021-04-14
hCoV-19/Spain/CT-HUGTiPR012YO1B9/2021|EPI_ISL_1636430|2021-04-07	2021-04-07
hCoV-19/Germany/un-RKI-I-071398/2021|EPI_ISL_1638390|2021-03-30	2021-03-30
hCoV-19/Germany/SN-RKI-I-073853/2021|EPI_ISL_1640231|2021-03-29	2021-03-29
hCoV-19/India/ILSGS00700/2021|EPI_ISL_1663334|2021-03-26	2021-03-26
hCoV-19/France/HDF-P330-21134M1837/2021|EPI_ISL_1671819|2021-04-01	2021-04-01
hCoV-19/France/HDF-P339-21135M0288/2021|EPI_ISL_1671823|2021-03-31	2021-03-31
hCoV-19/Nigeria/CV954/2021|EPI_ISL_1715381|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV958/2021|EPI_ISL_1715383|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV959/2021|EPI_ISL_1715384|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV960/2021|EPI_ISL_1715385|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV1013/2021|EPI_ISL_1715386|2021-02-15	2021-02-15
hCoV-19/Nigeria/CV1020/2021|EPI_ISL_1715391|2021-02-10	2021-02-10
hCoV-19/Nigeria/CV1045/2021|EPI_ISL_1715402|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV1046/2021|EPI_ISL_1715403|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV1047/2021|EPI_ISL_1715404|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV1049/2021|EPI_ISL_1715406|2021-01-13	2021-01-13
hCoV-19/Nigeria/CV1053/2021|EPI_ISL_1715409|2021-01-11	2021-01-11
hCoV-19/Nigeria/CV1055/2021|EPI_ISL_1715410|2021-01-12	2021-01-12
hCoV-19/Nigeria/CV1060/2021|EPI_ISL_1715412|2021-01-08	2021-01-08
hCoV-19/Nigeria/CV1062/2021|EPI_ISL_1715413|2021-01-08	2021-01-08
hCoV-19/England/MILK-15151EF/2021|EPI_ISL_1718858|2021-04-16	2021-04-16
hCoV-19/Germany/un-RKI-I-087659/2021|EPI_ISL_1724308|2021-04-06	2021-04-06
hCoV-19/Germany/un-RKI-I-087662/2021|EPI_ISL_1724310|2021-04-06	2021-04-06
hCoV-19/Germany/un-RKI-I-089922/2021|EPI_ISL_1725205|2021-04-12	2021-04-12
hCoV-19/Germany/BE-RKI-I-090513/2021|EPI_ISL_1725609|2021-04-12	2021-04-12
hCoV-19/Germany/BE-RKI-I-090522/2021|EPI_ISL_1725614|2021-04-07	2021-04-07
hCoV-19/Germany/BE-RKI-I-090525/2021|EPI_ISL_1725616|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-090526/2021|EPI_ISL_1725617|2021-04-12	2021-04-12
hCoV-19/Germany/BE-RKI-I-090530/2021|EPI_ISL_1725619|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-090535/2021|EPI_ISL_1725623|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-090543/2021|EPI_ISL_1725629|2021-04-10	2021-04-10
hCoV-19/Germany/RP-RKI-I-090553/2021|EPI_ISL_1725636|2021-04-13	2021-04-13
hCoV-19/Germany/RP-RKI-I-090568/2021|EPI_ISL_1725645|2021-04-08	2021-04-08
hCoV-19/Italy/TAA-IGA-1900561059/2021|EPI_ISL_1745277|2021-04-11	2021-04-11
hCoV-19/Italy/TAA-IGA-1900562649/2021|EPI_ISL_1745284|2021-04-13	2021-04-13
hCoV-19/Italy/TAA-IGA-1900554901/2021|EPI_ISL_1745291|2021-04-10	2021-04-10
hCoV-19/Italy/TAA-IGA-1900562416/2021|EPI_ISL_1745299|2021-04-12	2021-04-12
hCoV-19/USA/WA-PHL-000483/2021|EPI_ISL_1747420|2021-04-16	2021-04-16
hCoV-19/USA/WA-PHL-000499/2021|EPI_ISL_1747436|2021-04-16	2021-04-16
hCoV-19/Switzerland/BL-UHB-42761106/2021|EPI_ISL_1748282|2021-03-20	2021-03-20
hCoV-19/Switzerland/SO-UHB-42762199/2021|EPI_ISL_1748317|2021-03-21	2021-03-21
hCoV-19/France/IDF-HMN-21032250287/2021|EPI_ISL_1754921|2021-03-12	2021-03-12
hCoV-19/France/IDF-HMN-21032250288/2021|EPI_ISL_1754931|2021-03-12	2021-03-12
hCoV-19/Italy/CAM-COTUGNO-38-11/2021|EPI_ISL_1760379|2021-04-20	2021-04-20
hCoV-19/Italy/UMB-IZSGC-233264-1-19/2021|EPI_ISL_1785213|2021-04-20	2021-04-20
hCoV-19/Italy/UMB-IZSGC-233264-1-32/2021|EPI_ISL_1785227|2021-04-20	2021-04-20
hCoV-19/Slovenia/17-023968-KR/2021|EPI_ISL_1817303|2021-04-07	2021-04-07
hCoV-19/England/ALDP-152EA06/2021|EPI_ISL_1830347|2021-04-22	2021-04-22
hCoV-19/Spain/CT-HUGTiPR014JJ2D11/2021|EPI_ISL_1831620|2021-04-16	2021-04-16
hCoV-19/Spain/CT-HUGTiPR014JJ2F10/2021|EPI_ISL_1831643|2021-04-18	2021-04-18
hCoV-19/Spain/CT-IrsiCaixaR014SL1C10/2021|EPI_ISL_1831681|2021-04-16	2021-04-16
hCoV-19/Germany/BE-RKI-I-101768/2021|EPI_ISL_1847179|2021-04-21	2021-04-21
hCoV-19/Germany/RP-RKI-I-101772/2021|EPI_ISL_1847182|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-101788/2021|EPI_ISL_1847194|2021-04-19	2021-04-19
hCoV-19/USA/WA-UW-21041580414/2021|EPI_ISL_1849374|2021-04-15	2021-04-15
hCoV-19/Germany/BE-RKI-I-105665/2021|EPI_ISL_1850314|2021-04-21	2021-04-21
hCoV-19/Germany/BE-RKI-I-105675/2021|EPI_ISL_1850325|2021-04-21	2021-04-21
hCoV-19/Germany/NW-RKI-I-106060/2021|EPI_ISL_1850360|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-50862/2021|EPI_ISL_1858283|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-51656/2021|EPI_ISL_1859591|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-51658/2021|EPI_ISL_1859595|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-52066/2021|EPI_ISL_1860105|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-52100/2021|EPI_ISL_1860152|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-53386/2021|EPI_ISL_1861440|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-53438/2021|EPI_ISL_1861492|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-54802/2021|EPI_ISL_1863230|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-54817/2021|EPI_ISL_1863245|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-54838/2021|EPI_ISL_1863266|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-54840/2021|EPI_ISL_1863268|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-54844/2021|EPI_ISL_1863272|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-56070/2021|EPI_ISL_1864570|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-56456/2021|EPI_ISL_1864956|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-56993/2021|EPI_ISL_1865493|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-57359/2021|EPI_ISL_1865859|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-57382/2021|EPI_ISL_1865882|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-58268/2021|EPI_ISL_1866771|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-60360/2021|EPI_ISL_1868931|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-61246/2021|EPI_ISL_1869817|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-61809/2021|EPI_ISL_1870380|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-64901/2021|EPI_ISL_1873472|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-65812/2021|EPI_ISL_1874383|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-66169/2021|EPI_ISL_1874740|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-67996/2021|EPI_ISL_1876567|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-68003/2021|EPI_ISL_1876574|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-68845/2021|EPI_ISL_1877416|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-69310/2021|EPI_ISL_1877881|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-70188/2021|EPI_ISL_1878759|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-72086/2021|EPI_ISL_1880657|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-72510/2021|EPI_ISL_1881081|2021-03-01	2021-03-01
hCoV-19/Denmark/DCGC-74658/2021|EPI_ISL_1883229|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-75538/2021|EPI_ISL_1884109|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-76023/2021|EPI_ISL_1884594|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-76863/2021|EPI_ISL_1885434|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-77311/2021|EPI_ISL_1885890|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-77756/2021|EPI_ISL_1886397|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-78085/2021|EPI_ISL_1886726|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-78102/2021|EPI_ISL_1886743|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-78146/2021|EPI_ISL_1886787|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-78583/2021|EPI_ISL_1887224|2021-03-08	2021-03-08
hCoV-19/Denmark/DCGC-78588/2021|EPI_ISL_1887229|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-79054/2021|EPI_ISL_1887695|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-79886/2021|EPI_ISL_1888527|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-79923/2021|EPI_ISL_1888564|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-79929/2021|EPI_ISL_1888570|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-80337/2021|EPI_ISL_1888978|2021-04-19	2021-04-19
hCoV-19/Denmark/DCGC-80760/2021|EPI_ISL_1889401|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-81215/2021|EPI_ISL_1889857|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-81794/2021|EPI_ISL_1890436|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-82162/2021|EPI_ISL_1890828|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-82865/2021|EPI_ISL_1891710|2021-03-29	2021-03-29
hCoV-19/Denmark/DCGC-82867/2021|EPI_ISL_1891712|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-83926/2021|EPI_ISL_1893092|2021-03-22	2021-03-22
hCoV-19/Denmark/DCGC-85038/2021|EPI_ISL_1894348|2021-04-05	2021-04-05
hCoV-19/Denmark/DCGC-85897/2021|EPI_ISL_1895218|2021-03-15	2021-03-15
hCoV-19/Denmark/DCGC-85943/2021|EPI_ISL_1895264|2021-03-22	2021-03-22
hCoV-19/Norway/10226/2021|EPI_ISL_1919379|2021-04-17	2021-04-17
hCoV-19/Japan/IC-0887/2021|EPI_ISL_1927300|2021-03-19	2021-03-19
hCoV-19/Japan/IC-0924/2021|EPI_ISL_1927302|2021-03-30	2021-03-30
hCoV-19/Japan/IC-1021/2021|EPI_ISL_1927303|2021-04-12	2021-04-12
hCoV-19/France/PAC-HCL021071290601/2021|EPI_ISL_1935392|2021-04-11	2021-04-11
hCoV-19/France/ARA-HCL021071317701/2021|EPI_ISL_1935393|2021-04-13	2021-04-13
hCoV-19/Germany/BE-ChVir-LB-210319-8338/2021|EPI_ISL_1986484|2021-03-12	2021-03-12
hCoV-19/Germany/HE-ChVir-LB-210316-5717/2021|EPI_ISL_1988227|2021-03-05	2021-03-05
hCoV-19/Norway/08441/2021|EPI_ISL_1989264|2021-03-26	2021-03-26
hCoV-19/Ghana/NMIMR-TRA-21-12870/2021|EPI_ISL_2001094|2021-02-08	2021-02-08
hCoV-19/Italy/ABR-IZSGC-248718/2021|EPI_ISL_2001420|2021-04-30	2021-04-30
hCoV-19/Italy/UMB-IZSGC-246561.1.21/2021|EPI_ISL_2001451|2021-04-23	2021-04-23
hCoV-19/Italy/UMB-IZSGC-246561.1.22/2021|EPI_ISL_2001452|2021-04-23	2021-04-23
hCoV-19/Italy/UMB-IZSGC-246561.1.29/2021|EPI_ISL_2001459|2021-04-21	2021-04-21
hCoV-19/Italy/UMB-IZSGC-246561.1.30/2021|EPI_ISL_2001460|2021-04-21	2021-04-21
hCoV-19/USA/WA-UW-21042059845/2021|EPI_ISL_2002345|2021-04-20	2021-04-20
hCoV-19/USA/WA-UW-21042085209/2021|EPI_ISL_2002353|2021-04-20	2021-04-20
hCoV-19/Portugal/PT7004/2021|EPI_ISL_2004140|2021-04-12	2021-04-12
hCoV-19/Denmark/DCGC-92292/2021|EPI_ISL_2028587|2021-04-26	2021-04-26
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-10843/2021|EPI_ISL_2029441|2021-04-14	2021-04-14
hCoV-19/Ireland/D-NVRL-22IRL53021/2021|EPI_ISL_2088160|2021-04-28	2021-04-28
hCoV-19/France/IDF-CERBAHC-20210408-S8/2021|EPI_ISL_2094436|2021-03-30	2021-03-30
hCoV-19/Germany/NW-RKI-I-133033/2021|EPI_ISL_2115393|2021-04-28	2021-04-28
hCoV-19/Germany/NW-RKI-I-133040/2021|EPI_ISL_2115400|2021-04-28	2021-04-28
hCoV-19/Germany/NW-RKI-I-133050/2021|EPI_ISL_2115409|2021-04-25	2021-04-25
hCoV-19/Germany/BE-RKI-I-136981/2021|EPI_ISL_2120351|2021-05-03	2021-05-03
hCoV-19/Germany/NW-RKI-I-137950/2021|EPI_ISL_2122539|2021-05-03	2021-05-03
hCoV-19/Germany/NW-RKI-I-137952/2021|EPI_ISL_2122544|2021-05-01	2021-05-01
hCoV-19/Germany/NW-RKI-I-137957/2021|EPI_ISL_2122558|2021-05-03	2021-05-03
hCoV-19/Germany/NW-RKI-I-145307/2021|EPI_ISL_2129577|2021-05-04	2021-05-04
hCoV-19/Germany/NW-RKI-I-145323/2021|EPI_ISL_2129593|2021-05-03	2021-05-03
hCoV-19/Germany/NW-RKI-I-145335/2021|EPI_ISL_2129605|2021-05-07	2021-05-07
hCoV-19/Germany/NW-RKI-I-145338/2021|EPI_ISL_2129608|2021-05-05	2021-05-05
hCoV-19/Ireland/D-NVRL-22IRL49983/2021|EPI_ISL_2131887|2021-04-27	2021-04-27
hCoV-19/Ireland/D-NVRL-22IRL48555/2021|EPI_ISL_2131927|2021-04-27	2021-04-27
hCoV-19/Ireland/D-NVRL-22IRL49256/2021|EPI_ISL_2131933|2021-04-27	2021-04-27
hCoV-19/France/HDF-P321-21172M0894/2021|EPI_ISL_2143400|2021-04-26	2021-04-26
hCoV-19/Canada/ABPHL-10938/2021|EPI_ISL_2168700|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-10940/2021|EPI_ISL_2168702|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10943/2021|EPI_ISL_2168705|2021-03-29	2021-03-29
hCoV-19/Canada/ABPHL-10945/2021|EPI_ISL_2168707|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-11579/2021|EPI_ISL_2169255|2021-04-01	2021-04-01
hCoV-19/Canada/ABPHL-11580/2021|EPI_ISL_2169256|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-11594/2021|EPI_ISL_2169266|2021-03-30	2021-03-30
hCoV-19/Canada/ABPHL-11602/2021|EPI_ISL_2169274|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-11609/2021|EPI_ISL_2169280|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-11610/2021|EPI_ISL_2169281|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-11612/2021|EPI_ISL_2169283|2021-03-31	2021-03-31
hCoV-19/Canada/ABPHL-11614/2021|EPI_ISL_2169285|2021-03-31	2021-03-31
hCoV-19/France/PDL-IPP11511/2021|EPI_ISL_2188356|2021-04-28	2021-04-28
hCoV-19/USA/OH-UHTL-757/2021|EPI_ISL_2193398|2021-05-08	2021-05-08
hCoV-19/USA/OH-UHTL-758/2021|EPI_ISL_2193399|2021-05-12	2021-05-12
hCoV-19/USA/WV-WVU-WV119580/2021|EPI_ISL_2204409|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119573/2021|EPI_ISL_2204413|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119567/2021|EPI_ISL_2204414|2021-04-29	2021-04-29
hCoV-19/USA/WV-WVU-WV119902/2021|EPI_ISL_2204823|2021-05-09	2021-05-09
hCoV-19/USA/WV-WVU-WV119879/2021|EPI_ISL_2204842|2021-05-10	2021-05-10
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-13632/2021|EPI_ISL_2227095|2021-04-26	2021-04-26
hCoV-19/England/ALDP-1589F28/2021|EPI_ISL_2237742|2021-05-13	2021-05-13
hCoV-19/England/NORT-1BB791E/2021|EPI_ISL_2239501|2021-05-04	2021-05-04
hCoV-19/Nigeria/ICGEB-S135/2021|EPI_ISL_2242809|2021-01-08	2021-01-08
hCoV-19/Portugal/PT7440/2021|EPI_ISL_2249022|2021-05-11	2021-05-11
hCoV-19/Spain/CT-HUGTiPR017KX9F3/2021|EPI_ISL_2254233|2021-05-10	2021-05-10
hCoV-19/Germany/NI-RKI-I-149299/2021|EPI_ISL_2260989|2021-05-07	2021-05-07
hCoV-19/Denmark/DCGC-31254/2021|EPI_ISL_855634|2021-01-11	2021-01-11
hCoV-19/Denmark/DCGC-42199/2021|EPI_ISL_1022477|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-43048/2021|EPI_ISL_1023326|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-43055/2021|EPI_ISL_1023333|2021-02-08	2021-02-08
hCoV-19/Denmark/DCGC-43917/2021|EPI_ISL_1024295|2021-02-01	2021-02-01
hCoV-19/Denmark/DCGC-44298/2021|EPI_ISL_1024676|2021-02-01	2021-02-01
hCoV-19/Nigeria/CV667/2020|EPI_ISL_1035819|2020-12-20	2020-12-20
hCoV-19/Italy/LAZ-INMI-251/2021|EPI_ISL_1079356|2021-02-09	2021-02-09
hCoV-19/Italy/LAZ-INMI-252/2021|EPI_ISL_1079358|2021-02-09	2021-02-09
hCoV-19/Denmark/DCGC-48132/2021|EPI_ISL_1123686|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49086/2021|EPI_ISL_1125475|2021-02-22	2021-02-22
hCoV-19/Denmark/DCGC-49100/2021|EPI_ISL_1125489|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-49964/2021|EPI_ISL_1126355|2021-02-15	2021-02-15
hCoV-19/Denmark/DCGC-50349/2021|EPI_ISL_1126740|2021-02-15	2021-02-15
hCoV-19/Ireland/LH-NVRL-e85IRL42977/2021|EPI_ISL_1132620|2021-02-08	2021-02-08
hCoV-19/Ireland/LH-NVRL-e85IRL43191/2021|EPI_ISL_1132621|2021-02-08	2021-02-08
hCoV-19/USA/NY-PRL-2021_02_26_00O06/2021|EPI_ISL_1172241|2021-02-24	2021-02-24
hCoV-19/USA/NY-PRL-2021_03_01_01F18/2021|EPI_ISL_1172643|2021-02-26	2021-02-26
hCoV-19/Ireland/D-NVRL-21IRL23073/2021|EPI_ISL_1180280|2021-02-08	2021-02-08
hCoV-19/USA/IL-Yale-1579/2021|EPI_ISL_1182051|2021-02-10	2021-02-10
hCoV-19/Norway/2642/2021|EPI_ISL_1192251|2021-01-27	2021-01-27
hCoV-19/Ireland/LH-NVRL-ec85IRL42658/2021|EPI_ISL_1196612|2021-02-08	2021-02-08
hCoV-19/Slovenia/92156/2021|EPI_ISL_1210514|2021-02-19	2021-02-19
hCoV-19/Slovenia/94445/2021|EPI_ISL_1210515|2021-02-21	2021-02-21
hCoV-19/Slovenia/90736/2021|EPI_ISL_1210516|2021-02-19	2021-02-19
hCoV-19/Norway/2835/2021|EPI_ISL_1251999|2021-02-02	2021-02-02
hCoV-19/Singapore/257/2021|EPI_ISL_1252447|2021-03-08	2021-03-08
hCoV-19/Ireland/D-NVRL-21IRL55304/2021|EPI_ISL_1252895|2021-03-01	2021-03-01
hCoV-19/Ireland/D-NVRL-21IRL52805/2021|EPI_ISL_1252896|2021-02-27	2021-02-27
hCoV-19/Slovenia/22-2611/2021|EPI_ISL_1260812|2021-02-25	2021-02-25
hCoV-19/Slovenia/58635/2021|EPI_ISL_1265234|2021-02-01	2021-02-01
hCoV-19/Germany/NW-RKI-I-037312/2021|EPI_ISL_1283160|2021-03-01	2021-03-01
hCoV-19/Germany/NW-RKI-I-038949/2021|EPI_ISL_1285310|2021-03-04	2021-03-04
hCoV-19/Germany/BW-RKI-I-038984/2021|EPI_ISL_1285345|2021-02-03	2021-02-03
hCoV-19/Germany/BW-RKI-I-038986/2021|EPI_ISL_1285347|2021-03-04	2021-03-04
hCoV-19/Germany/BW-RKI-I-038994/2021|EPI_ISL_1285355|2021-02-24	2021-02-24
hCoV-19/Germany/BW-RKI-I-038996/2021|EPI_ISL_1285357|2021-03-01	2021-03-01
hCoV-19/Germany/BW-RKI-I-038997/2021|EPI_ISL_1285358|2021-02-28	2021-02-28
hCoV-19/Germany/BW-RKI-I-038999/2021|EPI_ISL_1285360|2021-03-03	2021-03-03
hCoV-19/Germany/BW-RKI-I-039004/2021|EPI_ISL_1285365|2021-03-01	2021-03-01
hCoV-19/Netherlands/NB-RIVM-17105/2021|EPI_ISL_1289241|2021-03-02	2021-03-02
hCoV-19/Australia/QLD1500/2021|EPI_ISL_1300532|2021-01-06	2021-01-06
hCoV-19/USA/NY-PRL-2021_03_17_00C21/2021|EPI_ISL_1306275|2021-03-15	2021-03-15
hCoV-19/USA/NY-PRL-2021_03_17_00E20/2021|EPI_ISL_1306282|2021-03-15	2021-03-15
hCoV-19/Spain/CT-HUVH-197970/2021|EPI_ISL_1334346|2021-03-09	2021-03-09
hCoV-19/Germany/NW-RKI-I-046032/2021|EPI_ISL_1353456|2021-03-15	2021-03-15
hCoV-19/Germany/SN-RKI-I-049611/2021|EPI_ISL_1357037|2021-03-10	2021-03-10
hCoV-19/Turkey/HSGM-9191/2021|EPI_ISL_1358357|2021-03-08	2021-03-08
hCoV-19/Turkey/HSGM-9239/2021|EPI_ISL_1358358|2021-03-08	2021-03-08
hCoV-19/Turkey/HSGM-9222/2021|EPI_ISL_1358360|2021-03-08	2021-03-08
hCoV-19/Turkey/HSGM-9227/2021|EPI_ISL_1358361|2021-03-08	2021-03-08
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5874/2021|EPI_ISL_1390484|2021-03-17	2021-03-17
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-5883/2021|EPI_ISL_1390492|2021-03-17	2021-03-17
hCoV-19/Slovenia/21-5358/2021|EPI_ISL_1402154|2021-03-06	2021-03-06
hCoV-19/Italy/ABR-IZSGC-161232/2021|EPI_ISL_1403502|2021-03-16	2021-03-16
hCoV-19/France/IDF-IPP06548/2021|EPI_ISL_1417209|2021-03-16	2021-03-16
hCoV-19/USA/WV-WVU-WV090077/2021|EPI_ISL_1423120|2021-03-01	2021-03-01
hCoV-19/Germany/NW-RKI-I-055855/2021|EPI_ISL_1439440|2021-03-23	2021-03-23
hCoV-19/Germany/NW-RKI-I-055898/2021|EPI_ISL_1439506|2021-03-22	2021-03-22
hCoV-19/Germany/NW-RKI-I-057199/2021|EPI_ISL_1440903|2021-03-16	2021-03-16
hCoV-19/Germany/SN-RKI-I-057270/2021|EPI_ISL_1440974|2021-03-15	2021-03-15
hCoV-19/USA/WA-UW-67911/2021|EPI_ISL_1448373|2021-03-16	2021-03-16
hCoV-19/France/NAQ-HCL021051648701/2021|EPI_ISL_1457765|2021-03-16	2021-03-16
hCoV-19/Italy/TAA-IGA-1900534242/2021|EPI_ISL_1489740|2021-03-15	2021-03-15
hCoV-19/Norway/5562/2021|EPI_ISL_1490315|2021-03-05	2021-03-05
hCoV-19/Italy/TAA-1900544936/2021|EPI_ISL_1494712|2021-03-23	2021-03-23
hCoV-19/Italy/TAA-1900545984/2021|EPI_ISL_1494713|2021-03-23	2021-03-23
hCoV-19/USA/WA-UW-68433/2021|EPI_ISL_1497838|2021-03-22	2021-03-22
hCoV-19/USA/WA-UW-68434/2021|EPI_ISL_1497839|2021-03-22	2021-03-22
hCoV-19/Togo/C6633/2021|EPI_ISL_1508962|2021-02-08	2021-02-08
hCoV-19/Togo/TGS8/2021|EPI_ISL_1508988|2021-02-05	2021-02-05
hCoV-19/Italy/VEN-IZSVe-21RS592-27_PD/2021|EPI_ISL_1524571|2021-03-15	2021-03-15
hCoV-19/Italy/VEN-IZSVe-21RS593-2_VE/2021|EPI_ISL_1524618|2021-03-16	2021-03-16
hCoV-19/Italy/VEN-IZSVe-21RS593-1_VE/2021|EPI_ISL_1524619|2021-03-16	2021-03-16
hCoV-19/Togo/C6844/2021|EPI_ISL_1524650|2021-02-12	2021-02-12
hCoV-19/USA/WV-WVU-WV090292/2021|EPI_ISL_1528594|2021-03-16	2021-03-16
hCoV-19/USA/WV-WVU-WV090911/2021|EPI_ISL_1529030|2021-03-29	2021-03-29
hCoV-19/USA/WV-WVU-WV090928/2021|EPI_ISL_1529047|2021-03-29	2021-03-29
hCoV-19/USA/WV-WVU-WV090931/2021|EPI_ISL_1529049|2021-03-29	2021-03-29
hCoV-19/USA/VA-SU-SC_101/2021|EPI_ISL_1531739|2021-04-02	2021-04-02
hCoV-19/Turkey/HSGM-858/2021|EPI_ISL_1534477|2021-03-29	2021-03-29
hCoV-19/Norway/7153/2021|EPI_ISL_1547694|2021-03-20	2021-03-20
hCoV-19/Germany/un-RKI-I-068784/2021|EPI_ISL_1573183|2021-04-01	2021-04-01
hCoV-19/France/ARA-HCL021061399101/2021|EPI_ISL_1623609|2021-03-30	2021-03-30
hCoV-19/USA/WV-WVU-WV064854/2021|EPI_ISL_1624920|2021-03-30	2021-03-30
hCoV-19/USA/WV-WVU-WV091005/2021|EPI_ISL_1624963|2021-03-31	2021-03-31
hCoV-19/USA/WV-WVU-WV091006/2021|EPI_ISL_1624964|2021-03-31	2021-03-31
hCoV-19/USA/WV-WVU-WV091009/2021|EPI_ISL_1624966|2021-03-30	2021-03-30
hCoV-19/USA/WV-WVU-WV091011/2021|EPI_ISL_1624968|2021-03-31	2021-03-31
hCoV-19/USA/WV-WVU-WV091015/2021|EPI_ISL_1624971|2021-03-31	2021-03-31
